# x_m, y_m, w_tr_right_m, w_tr_left_m
-19.0008778836661,3.53667344305573,1.1,1.1
-19.0968544764471,3.65662032931233,1.1,1.1
-19.170655013739896,3.78071846079281,1.1,1.1
-19.239438698854897,3.90595412562526,1.1,1.1
-19.304192686657096,4.03234240564079,1.1,1.1
-19.364811299432397,4.16034533046705,1.1,1.1
-19.438624050485096,4.29212787760416,1.1,1.1
-19.494426275865102,4.4227163521365,1.1,1.1
-19.546755954234996,4.55464606709391,1.1,1.1
-19.5958475968258,4.68728363763272,1.1,1.1
-19.641262865354896,4.82064026671325,1.1,1.1
-19.6956465832599,4.95350615042758,1.1,1.1
-19.7347769472227,5.08898573781807,1.1,1.1
-19.770180716466996,5.22503523555543,1.1,1.1
-19.801349221961196,5.36204600918966,1.1,1.1
-19.8290613022969,5.50024217940966,1.1,1.1
-19.866156483628096,5.63973521782893,1.1,1.1
-19.889281642093096,5.77919852005177,1.1,1.1
-19.908678415824795,5.91880458331539,1.1,1.1
-19.9246777086978,6.0583121781609,1.1,1.1
-19.954022334955596,6.19806046523152,1.1,1.1
-19.966333940479096,6.33651570350035,1.1,1.1
-19.9746704661967,6.47386483499542,1.1,1.1
-19.979624663315896,6.6099570753448,1.1,1.1
-19.980250270533197,6.7450473647512,1.1,1.1
-19.977650847481797,6.87925840346027,1.1,1.1
-19.972049242896098,7.0126291214804,1.1,1.1
-19.981764195250896,7.1566119411317,1.1,1.1
-19.971048986678,7.28896239442586,1.1,1.1
-19.956922214507202,7.42044626508392,1.1,1.1
-19.9398679004359,7.55100942503804,1.1,1.1
-19.9201965740667,7.68060159330102,1.1,1.1
-19.919700824500396,7.81375868578597,1.1,1.1
-19.8964051277556,7.94228104204193,1.1,1.1
-19.8701965494337,8.06987154423379,1.1,1.1
-19.840166195713202,8.1964270699768,1.1,1.1
-19.8158652880214,8.33238314034298,1.1,1.1
-19.7817044616011,8.45958672004903,1.1,1.1
-19.743751614487202,8.5853519205486,1.1,1.1
-19.702704895344198,8.70966165214887,1.1,1.1
-19.658842447737896,8.8328775204152,1.1,1.1
-19.6168020667453,8.96171116174764,1.1,1.1
-19.5672637889801,9.08345263613998,1.1,1.1
-19.514732781762795,9.20406785384438,1.1,1.1
-19.459042558245898,9.32284548491377,1.1,1.1
-19.399928185854996,9.43995397418145,1.1,1.1
-19.3448582519369,9.56545220435173,1.1,1.1
-19.280688117267395,9.67985506963673,1.1,1.1
-19.213898547366497,9.79241693593994,1.1,1.1
-19.1443957867885,9.90349618118373,1.1,1.1
-19.071559366311895,10.0125184147823,1.1,1.1
-19.0160714361431,10.1383622371459,1.1,1.1
-18.9409004730109,10.2458362511838,1.1,1.1
-18.863086094491997,10.3506876739702,1.1,1.1
-18.7827383421371,10.4528571096114,1.1,1.1
-18.699528111260996,10.5520698978115,1.1,1.1
-18.624226398183296,10.66325996153,1.1,1.1
-18.5381084284095,10.7584319673642,1.1,1.1
-18.449511019426097,10.8506005840981,1.1,1.1
-18.359156220677896,10.939756312629,1.1,1.1
-18.266466210970002,11.0405026045168,1.1,1.1
-18.172074477298096,11.1257614750646,1.1,1.1
-18.076365771701397,11.2084606745457,1.1,1.1
-17.978621473366296,11.2878524775314,1.1,1.1
-17.8791224703348,11.3645288881238,1.1,1.1
-17.781123625483296,11.452013960428,1.1,1.1
-17.678340283843397,11.5244370981877,1.1,1.1
-17.574033193014095,11.5939948858859,1.1,1.1
-17.468699462569198,11.6605858216778,1.1,1.1
-17.361647173316896,11.7245907349556,1.1,1.1
-17.2534200695612,11.7859359669926,1.1,1.1
-17.1502029127646,11.8435552504926,1.1,1.1
-17.0394551109533,11.8997861457231,1.1,1.1
-16.926457956257195,11.9543208437736,1.1,1.1
-16.8109304714215,12.0065950488305,1.1,1.1
-16.692958272443597,12.0564576456793,1.1,1.1
-16.570197967393696,12.1218922314025,1.1,1.1
